Car_ID,Brand,Model,Year,Price_Lakh_INR,Fuel_Type,Transmission,Engine_CC,Mileage_or_Range,Safety_Rating,Airbags,ABS,ESP,Rear_Camera,Driver_Behavior,Road_Risk,Pothole_Risk,Engine_Temperature_C,Battery_Voltage_V,Brake_Condition,Tire_Pressure_PSI,Oil_Health_Percent,Maintenance_Risk,Maintenance_Risk_Score,Accident_Risk,Accident_Risk_Score,Overall_Safety_Score,Recommendation_Score,Recommendation
19,Toyota,Hyryder,2020,15.51,Petrol,Automatic,1597,19.8,4,6,Yes,Yes,Yes,Calm,Low,0.2,80.6,12.44,Moderate,30.1,65.7,Low,13.016530959155967,Low,18.37754076194128,78,74.07,Recommended
20,Hyundai,Venue,2025,15.71,Electric,Automatic,0,478.0,3,6,Yes,No,Yes,Normal,Low,0.22,76.8,11.94,Good,30.0,84.6,Low,28.010939214063857,Low,15.505096717314215,59,81.55,Highly Recommended
21,Skoda,Kushaq,2019,12.53,Electric,Automatic,0,375.3,4,2,Yes,Yes,No,Calm,Low,0.11,89.4,12.87,Moderate,33.3,74.0,Low,8.512289163359348,Low,16.518076168096293,71,80.02375,Highly Recommended
22,Volkswagen,Virtus,2021,9.12,CNG,Manual,1997,27.2,4,7,Yes,Yes,No,Calm,Low,0.23,88.6,12.12,Good,28.3,64.7,Low,10.564916559627854,Low,13.814340077514409,88,72.68,Recommended
23,Honda,Elevate,2019,10.87,Diesel,Manual,1498,20.6,5,6,Yes,Yes,Yes,Risky,Low,0.15,86.7,12.65,Good,35.3,72.9,Low,2.100710915771339,Medium,40.26888966628793,86,72.79,Recommended
24,Tata,Harrier,2022,13.55,Electric,Manual,0,457.3,4,2,Yes,Yes,Yes,Normal,Medium,0.22,90.2,12.12,Good,26.8,61.2,Low,11.386623575303334,Low,22.22723365340495,75,83.75,Highly Recommended
25,Honda,City,2022,11.54,Petrol,Manual,1498,18.0,5,6,Yes,Yes,Yes,Normal,Medium,0.43,89.6,13.14,Moderate,33.5,77.1,Low,7.16296209417898,Low,29.482070413098324,83,71.05000000000001,Recommended
26,Renault,Kwid,2021,8.99,CNG,Manual,998,28.3,4,2,Yes,Yes,Yes,Normal,Medium,0.19,74.1,11.83,Good,34.2,67.2,Low,23.967482719795512,Low,10.941884648633396,77,73.895,Recommended
27,Maruti Suzuki,Brezza,2026,10.22,Electric,Automatic,0,375.6,4,6,Yes,Yes,Yes,Normal,Low,0.17,83.2,12.9,Poor,29.6,64.7,Medium,39.03392168160116,Low,24.634624053219756,63,82.435,Highly Recommended
28,Honda,City,2025,12.32,Petrol,Manual,1597,24.5,3,2,Yes,No,No,Calm,Low,0.17,84.2,13.02,Good,30.0,52.7,Low,12.423852668180237,Low,10.390663604435773,55,53.425,Consider
29,Honda,City,2023,7.82,Diesel,Automatic,998,23.1,4,4,Yes,Yes,No,Aggressive,Low,0.1,82.7,12.04,Good,29.8,76.9,Low,29.75647564248857,Low,23.204568234208647,75,67.215,Recommended
30,Kia,Sonet,2021,8.69,Petrol,Manual,998,20.9,3,4,Yes,No,Yes,Normal,Medium,0.24,77.8,13.1,Good,31.4,83.5,Low,0.0,Low,19.174609358938667,58,60.235,Recommended
31,Mahindra,Thar,2023,13.32,Electric,Manual,0,303.9,5,6,Yes,No,Yes,Aggressive,Medium,0.19,76.4,11.92,Moderate,30.7,90.2,Low,24.63829859910419,Medium,31.700151761431485,64,75.19624999999999,Highly Recommended
32,Renault,Kwid,2022,5.62,CNG,Manual,1497,26.6,4,6,Yes,Yes,Yes,Calm,Medium,0.11,91.1,12.14,Moderate,33.8,81.6,Low,3.920115993035513,Low,28.004715396084258,76,73.19,Recommended
33,Volkswagen,Taigun,2025,10.69,Petrol,Manual,1497,17.1,5,6,Yes,Yes,No,Normal,Medium,0.19,74.4,12.36,Good,31.5,61.3,Low,16.442805712382388,Low,24.898029501144347,89,67.61500000000001,Recommended
34,Maruti Suzuki,Brezza,2024,8.72,CNG,Automatic,1597,24.6,3,6,Yes,No,Yes,Aggressive,Low,0.11,99.7,12.0,Good,32.8,65.0,Medium,37.9869805731847,Low,28.050075347326402,53,67.54,Recommended
35,Toyota,Urban Cruiser,2022,13.29,Electric,Automatic,0,331.2,3,6,Yes,No,Yes,Aggressive,Low,0.0,93.5,12.62,Good,28.7,90.5,Low,6.821753112802147,Medium,30.530409130736295,57,78.07,Highly Recommended
36,Maruti Suzuki,Brezza,2024,10.08,CNG,Automatic,1290,28.8,4,6,Yes,Yes,Yes,Calm,Medium,0.19,90.2,12.39,Good,26.4,65.6,Low,8.227918330192773,Low,9.518575950455421,87,83.47,Highly Recommended
37,Honda,Amaze,2025,10.81,Petrol,Manual,1199,15.4,5,4,Yes,Yes,Yes,Normal,Low,0.17,87.9,12.82,Moderate,32.0,74.8,Low,2.7405453794793466,Low,12.146088208525246,85,71.56,Recommended
38,Toyota,Urban Cruiser,2023,16.73,CNG,Automatic,1199,18.2,3,6,Yes,No,Yes,Normal,High,0.28,80.2,12.7,Good,33.4,75.2,Low,10.070718632273133,Medium,38.23247633962044,54,67.03,Recommended
39,Skoda,Slavia,2024,15.71,Petrol,Manual,1498,23.2,3,6,Yes,No,Yes,Aggressive,Medium,0.26,85.4,12.1,Good,31.3,62.8,Low,23.263778254316435,Medium,42.340673608288526,51,57.43,Consider
40,Maruti Suzuki,Baleno,2023,9.18,CNG,Manual,1997,28.7,5,6,Yes,Yes,Yes,Normal,Low,0.08,79.0,13.26,Moderate,35.4,81.8,Low,13.123125604763285,Low,16.648212722407305,86,78.005,Highly Recommended
41,Renault,Kwid,2025,4.64,CNG,Manual,1497,24.8,5,2,Yes,Yes,Yes,Aggressive,High,0.35,80.4,12.43,Good,28.9,85.7,Low,6.961323299666174,Medium,42.85316995452769,76,72.92,Recommended
42,Hyundai,i20,2025,11.17,Diesel,Manual,1997,18.5,4,6,Yes,Yes,Yes,Normal,Medium,0.12,85.8,12.6,Good,30.6,81.8,Low,3.8502112929469487,Low,18.887735665098504,85,72.025,Recommended
43,Renault,Triber,2022,4.5,Petrol,Automatic,1197,17.3,3,2,Yes,No,Yes,Aggressive,High,0.37,87.2,13.05,Moderate,33.0,100.0,Low,0.0,Medium,53.88077395284042,36,54.795,Consider
44,Mahindra,Thar,2019,17.96,CNG,Manual,1197,24.0,4,7,Yes,Yes,No,Normal,Low,0.37,94.0,12.18,Good,31.1,70.7,Low,16.798006799460556,Low,17.52434235108461,85,70.85,Recommended
45,Kia,Seltos,2021,4.84,Petrol,Manual,1597,21.3,3,4,Yes,No,No,Aggressive,Low,0.19,78.6,12.32,Good,31.9,82.2,Low,1.1905352518822756,Low,27.697130709824915,55,52.945,Consider
46,Tata,Harrier,2020,8.14,Diesel,Manual,1199,20.7,4,6,Yes,No,No,Risky,Low,0.14,96.7,12.31,Good,27.7,65.5,Low,12.636355562523928,Medium,34.16644549098109,63,56.455,Consider
47,Maruti Suzuki,Baleno,2021,4.56,Petrol,Automatic,1498,20.7,4,4,Yes,Yes,No,Normal,High,0.53,86.4,11.93,Good,29.3,66.7,Low,33.640166500077456,Medium,44.8223283546005,67,63.255,Recommended
48,Hyundai,Venue,2023,7.46,CNG,Automatic,1997,26.6,3,4,Yes,No,Yes,Risky,High,0.32,86.8,13.35,Good,33.0,74.5,Low,9.303566439784166,High,61.42406672174428,42,62.89,Recommended
49,Hyundai,Exter,2020,11.07,Diesel,Automatic,1197,17.5,5,4,Yes,Yes,No,Normal,Medium,0.32,90.0,12.34,Good,25.0,83.7,Low,0.0,Low,18.506146370378325,90,73.125,Recommended
50,Volkswagen,Taigun,2023,18.96,Electric,Manual,0,323.4,4,6,Yes,Yes,Yes,Aggressive,Low,0.11,87.8,11.89,Good,30.1,91.9,Low,23.008059370926276,Low,22.06881700340972,81,83.5775,Highly Recommended
51,Maruti Suzuki,Dzire,2024,5.2,Petrol,Automatic,1290,22.9,3,6,Yes,No,Yes,Risky,Low,0.14,93.1,12.67,Good,28.5,83.0,Low,5.986901202647764,Medium,33.868839365101415,56,64.63499999999999,Recommended
52,Renault,Kwid,2021,14.09,Electric,Manual,0,344.0,5,6,Yes,Yes,No,Normal,Medium,0.16,85.1,12.79,Good,32.9,88.1,Low,2.2907926855119536,Low,25.224992654519223,91,82.85,Highly Recommended
53,Kia,Sonet,2020,5.33,Petrol,Manual,1997,15.3,4,6,Yes,Yes,Yes,Normal,Medium,0.25,90.9,12.78,Moderate,31.1,45.3,Low,19.77529963398898,Low,28.981468111102618,73,66.14500000000001,Recommended
54,Maruti Suzuki,Baleno,2022,11.96,Electric,Manual,0,321.0,5,6,Yes,Yes,No,Aggressive,Low,0.2,92.9,12.55,Good,29.9,69.9,Low,14.6979723164598,Low,21.177499330394408,90,81.5375,Highly Recommended
55,Mahindra,Thar,2026,15.23,CNG,Automatic,998,20.9,4,4,Yes,Yes,Yes,Normal,Low,0.24,84.8,13.01,Good,31.8,61.9,Low,15.610118601737598,Low,20.580503827706135,78,78.235,Highly Recommended
56,Toyota,Glanza,2020,11.61,CNG,Manual,1497,22.3,5,2,Yes,Yes,No,Risky,Low,0.11,91.0,12.53,Moderate,31.0,57.0,Low,7.831873987389591,Medium,42.81297953312491,70,63.845,Recommended
57,Skoda,Slavia,2022,14.38,Diesel,Manual,1997,19.0,4,7,Yes,Yes,Yes,Risky,Low,0.21,92.3,12.77,Good,29.3,88.5,Low,0.0,Medium,34.02160217949978,82,70.75,Recommended
58,Mahindra,Thar,2022,12.68,Petrol,Automatic,1197,18.2,4,2,Yes,Yes,Yes,Normal,Low,0.16,88.0,12.16,Moderate,31.5,73.9,Low,17.991706211338418,Low,17.806215990768482,69,69.78,Recommended
59,Toyota,Glanza,2020,14.51,Electric,Automatic,0,312.3,4,2,Yes,Yes,Yes,Aggressive,Low,0.12,100.0,11.46,Good,30.6,78.2,Medium,36.08052212382006,Low,25.292348792109898,70,83.21125,Highly Recommended
60,Kia,Sonet,2019,12.84,Petrol,Automatic,1290,20.0,5,6,Yes,Yes,No,Risky,High,0.26,79.7,12.34,Good,28.2,63.2,Low,8.575791607382147,High,70.02969636830358,74,66.30000000000001,Recommended
61,Kia,Carens,2026,6.68,Petrol,Manual,1498,18.6,4,6,Yes,Yes,Yes,Normal,Low,0.15,78.8,12.88,Good,33.6,77.8,Low,0.8880625046102608,Low,11.735209181675248,88,73.39,Recommended
62,Renault,Kiger,2019,9.47,Petrol,Automatic,1497,18.1,5,2,Yes,Yes,Yes,Normal,Low,0.04,78.7,12.28,Good,31.7,68.2,Low,7.758937691377454,Low,7.950651742349166,88,78.315,Highly Recommended
63,Tata,Nexon,2026,9.43,Petrol,Manual,1498,18.3,2,7,Yes,No,Yes,Calm,Medium,0.12,97.3,12.48,Moderate,33.0,89.7,Low,2.7505150234771216,Low,24.49580381677068,48,55.345,Consider
64,Maruti Suzuki,Baleno,2026,10.25,Electric,Manual,0,288.2,4,6,Yes,Yes,Yes,Calm,Low,0.17,98.9,13.07,Good,36.2,70.0,Low,20.17436406227214,Low,9.671946504204357,86,84.5075,Highly Recommended
65,Volkswagen,Taigun,2026,11.22,Electric,Manual,0,403.2,4,6,Yes,Yes,Yes,Normal,Low,0.12,100.2,12.28,Moderate,32.2,89.9,Low,6.399211713350266,Low,17.201764649793667,79,85.55000000000001,Highly Recommended
66,Honda,Amaze,2020,11.58,CNG,Automatic,1498,29.6,4,7,Yes,No,Yes,Calm,Low,0.25,90.5,12.4,Moderate,26.6,47.8,Low,22.499193276098868,Low,16.241873792469473,64,73.24000000000001,Recommended
67,Honda,Elevate,2026,14.37,Petrol,Automatic,1290,19.6,4,2,Yes,Yes,Yes,Risky,High,0.32,79.9,12.07,Moderate,26.8,87.2,Low,28.24927534966841,High,65.39558964785236,51,61.89,Recommended
68,Mahindra,Thar,2026,13.86,Diesel,Manual,1290,17.5,4,6,Yes,Yes,Yes,Aggressive,Low,0.15,77.6,13.04,Good,30.6,77.7,Low,0.0,Low,24.915080115715753,83,70.975,Recommended
69,Honda,City,2022,12.73,Diesel,Manual,1197,15.4,5,2,Yes,Yes,No,Risky,Low,0.17,107.0,12.4,Good,33.1,84.6,Low,11.25642304026896,Medium,32.27041192178061,79,62.86000000000001,Recommended
70,Toyota,Innova,2023,13.02,Petrol,Automatic,1199,18.1,3,7,Yes,No,Yes,Calm,Medium,0.26,85.4,12.27,Good,31.4,72.3,Low,14.276557205372834,Low,13.267163587164067,64,67.515,Recommended
71,Tata,Punch,2020,12.79,Petrol,Manual,2198,23.4,3,6,Yes,No,No,Aggressive,High,0.37,90.6,12.75,Good,32.7,100.0,Low,6.430169549553396,Medium,38.93178018486903,54,52.81,Consider
72,Toyota,Urban Cruiser,2020,16.05,Petrol,Manual,1290,15.2,3,6,Yes,No,No,Normal,Low,0.16,74.9,13.34,Good,31.5,86.6,Low,0.0,Low,17.93012296701063,63,55.63,Consider
73,Honda,Amaze,2020,11.88,Petrol,Manual,1197,19.9,4,6,Yes,Yes,No,Normal,Medium,0.32,97.6,12.12,Good,34.5,92.6,Low,6.5301109351293825,Low,24.531095367125292,82,64.88499999999999,Recommended
74,Hyundai,Creta,2020,6.57,Petrol,Manual,1498,21.9,5,4,Yes,Yes,No,Normal,Low,0.0,89.7,12.46,Good,25.0,59.3,Low,19.849203257015834,Low,7.341495999747476,90,68.785,Recommended
75,Skoda,Slavia,2024,13.57,Diesel,Manual,1498,28.0,4,6,Yes,Yes,Yes,Aggressive,Medium,0.19,98.3,12.45,Moderate,32.2,100.0,Low,5.936597113553132,Medium,42.65184229299779,70,66.7,Recommended
76,Skoda,Kushaq,2024,12.82,Petrol,Manual,1997,14.5,3,6,Yes,No,Yes,Calm,Low,0.12,72.2,12.41,Good,37.2,56.1,Low,13.41161198700402,Low,15.223410722178258,62,61.075,Recommended
77,Kia,Sonet,2024,14.03,Diesel,Automatic,1597,18.6,3,4,Yes,No,Yes,Normal,Low,0.12,83.6,12.02,Good,29.2,82.8,Low,20.269572529238182,Low,15.247908091964206,57,64.44,Recommended
78,Tata,Altroz,2021,10.14,CNG,Manual,1290,24.4,3,4,Yes,No,No,Normal,Low,0.13,91.8,12.9,Good,27.8,81.2,Low,3.9056171905124484,Low,17.848101048879656,58,58.760000000000005,Consider
79,Mahindra,Scorpio,2022,15.8,Electric,Automatic,0,339.6,5,6,Yes,Yes,Yes,Normal,Low,0.16,90.2,12.94,Moderate,37.0,63.6,Low,16.58611463600427,Low,11.450609222346593,88,92.33500000000001,Highly Recommended
80,Mahindra,Thar,2026,20.42,Electric,Automatic,0,363.0,5,4,Yes,No,Yes,Normal,Low,0.15,77.0,12.17,Poor,31.1,57.4,Low,31.768144459402603,Low,22.08555805896189,54,77.9125,Highly Recommended
81,Renault,Kwid,2026,9.32,CNG,Manual,2198,22.6,3,6,Yes,No,Yes,Risky,Low,0.18,76.9,12.51,Moderate,32.9,77.8,Low,0.5020036003418467,Medium,36.55044280457134,50,60.89,Recommended
82,Mahindra,XUV 3XO,2026,18.47,Diesel,Automatic,998,20.5,4,6,Yes,Yes,Yes,Normal,Low,0.04,84.8,11.88,Moderate,31.6,67.1,Low,33.404854989973494,Low,17.61015367591837,75,72.825,Recommended
83,Mahindra,XUV700,2026,17.74,Electric,Manual,0,412.3,3,6,Yes,No,Yes,Normal,Low,0.14,86.5,12.33,Good,31.4,77.4,Low,8.302993530575185,Low,10.087713886026004,64,78.8,Highly Recommended
84,Renault,Kiger,2022,8.47,Petrol,Automatic,1199,21.0,5,6,Yes,Yes,No,Aggressive,Medium,0.35,90.6,12.99,Good,29.9,80.2,Low,7.144810553312681,Medium,38.13227435203996,86,71.85,Recommended
85,Maruti Suzuki,Swift,2026,8.92,CNG,Manual,1197,20.6,2,6,Yes,No,Yes,Normal,Low,0.11,96.2,12.42,Moderate,30.7,97.1,Low,6.796484845904472,Low,15.657480073907355,49,60.14,Recommended
86,Honda,Amaze,2023,5.57,Petrol,Automatic,998,19.5,3,7,Yes,No,Yes,Normal,High,0.31,89.6,12.5,Good,30.3,76.7,Low,0.1647381236164307,Medium,38.74049380747233,57,64.575,Recommended
87,Renault,Triber,2021,10.12,CNG,Manual,1199,22.8,3,2,Yes,No,Yes,Normal,Low,0.07,92.5,12.26,Good,31.6,91.1,Low,1.6909433089072126,Low,5.109886999990237,59,64.97,Recommended
88,Mahindra,Scorpio,2025,10.8,CNG,Automatic,1497,23.6,3,4,Yes,No,Yes,Risky,Medium,0.23,71.7,12.61,Good,30.9,81.9,Low,11.459608465626994,Medium,45.944185999892014,47,64.69,Recommended
89,Honda,Elevate,2025,11.21,Petrol,Manual,1199,19.4,4,7,Yes,Yes,Yes,Calm,Low,0.07,101.5,13.01,Good,29.6,70.1,Low,16.581376572928484,Low,7.550092929358394,89,73.96000000000001,Recommended
90,Skoda,Slavia,2026,9.07,Diesel,Manual,1290,23.7,4,6,Yes,Yes,Yes,Calm,Low,0.16,78.8,12.8,Moderate,30.6,82.7,Low,3.5962629013493252,Low,17.77142326529182,79,70.105,Recommended
91,Toyota,Urban Cruiser,2024,15.0,Electric,Manual,0,410.5,5,6,Yes,Yes,Yes,Calm,Medium,0.16,83.6,12.02,Good,31.6,59.7,Medium,38.31563479568816,Low,14.528985850329942,89,90.05000000000001,Highly Recommended
92,Volkswagen,Virtus,2022,11.72,Petrol,Automatic,1497,14.5,5,6,Yes,No,Yes,Normal,Medium,0.34,93.7,12.54,Good,29.5,88.3,Low,12.00941845861578,Medium,30.236679245968528,73,71.025,Recommended
93,Honda,City,2020,9.78,Petrol,Manual,998,20.0,3,6,Yes,No,Yes,Normal,Low,0.07,84.9,12.48,Good,31.2,71.9,Low,10.296770191272287,Low,3.716336296419274,66,63.7,Recommended
94,Tata,Curvv,2022,4.5,Diesel,Automatic,1997,15.1,4,4,Yes,Yes,Yes,Risky,High,0.41,86.2,11.55,Poor,35.1,87.7,Medium,39.906787863162464,High,77.89517757467104,40,56.265,Consider
95,Skoda,Slavia,2026,18.64,Electric,Automatic,0,353.2,4,4,Yes,Yes,Yes,Normal,Low,0.24,81.7,12.24,Good,34.2,55.5,Low,9.023516251172804,Low,6.6490859690611295,84,91.045,Highly Recommended
96,Skoda,Slavia,2025,15.03,Diesel,Manual,1197,21.7,5,4,Yes,Yes,Yes,Calm,Medium,0.25,78.2,12.8,Good,35.5,93.4,Low,3.759427379592002,Low,20.628931373744773,88,73.855,Recommended
97,Hyundai,Creta,2020,13.01,Electric,Manual,0,398.0,4,6,Yes,Yes,No,Normal,Low,0.26,98.0,11.77,Good,35.6,71.1,Low,34.622237153250246,Low,7.168427796781318,84,81.725,Highly Recommended
98,Honda,City,2023,12.48,Diesel,Automatic,1997,24.1,3,6,Yes,No,Yes,Calm,Low,0.0,91.2,12.3,Moderate,30.6,94.1,Low,5.679684718776114,Low,10.47989575400604,58,65.715,Recommended
99,Kia,Carens,2025,13.64,Electric,Manual,0,374.0,4,7,Yes,Yes,No,Normal,Medium,0.17,95.2,12.36,Moderate,29.3,93.4,Low,0.0,Medium,31.91596440384807,77,77.675,Highly Recommended
100,Renault,Triber,2023,4.8,Petrol,Automatic,998,21.6,4,4,Yes,No,Yes,Normal,Medium,0.22,79.9,12.2,Good,28.8,79.4,Low,1.0704222465407804,Low,14.678535165047244,68,69.84,Recommended
101,Kia,Seltos,2020,7.57,Petrol,Automatic,1199,26.0,4,6,Yes,Yes,No,Normal,Medium,0.29,79.6,12.37,Good,32.4,68.4,Low,9.70553186464531,Low,23.85547963288806,82,70.8,Recommended
102,Maruti Suzuki,Swift,2024,7.93,Petrol,Manual,1197,21.8,4,6,Yes,Yes,Yes,Normal,Medium,0.07,89.5,13.21,Good,32.4,69.6,Low,10.795236002442772,Low,19.391748738386575,84,72.07000000000001,Recommended
103,Toyota,Glanza,2023,11.05,Petrol,Manual,1997,14.2,5,6,Yes,Yes,Yes,Aggressive,Low,0.14,87.4,12.26,Poor,30.9,68.0,Low,33.37004911725053,Medium,36.80741766118002,67,63.28,Recommended
104,Toyota,Innova,2021,12.32,Electric,Manual,0,415.4,3,4,Yes,No,No,Normal,Low,0.13,87.8,12.2,Good,33.2,78.2,Low,3.680068230661983,Low,13.119719416664296,60,71.0,Recommended
105,Volkswagen,Virtus,2020,4.5,CNG,Manual,1199,25.6,5,6,Yes,Yes,Yes,Calm,Low,0.18,84.8,12.95,Good,32.7,91.8,Low,6.170187458951675,Low,17.26577950694164,93,80.69,Highly Recommended
106,Toyota,Urban Cruiser,2019,13.44,Petrol,Automatic,1498,19.4,5,4,Yes,Yes,Yes,Normal,Medium,0.22,92.1,12.28,Good,30.5,61.6,Low,7.254977117924918,Medium,30.289439767982596,84,76.71000000000001,Highly Recommended
107,Honda,Amaze,2025,14.44,Diesel,Manual,1197,20.9,4,7,Yes,Yes,Yes,Normal,Low,0.12,79.0,12.48,Good,26.6,64.3,Low,14.531319468677344,Low,13.948234917582976,87,73.285,Recommended
108,Tata,Punch,2021,8.86,CNG,Automatic,2198,23.6,4,4,Yes,Yes,No,Aggressive,Low,0.13,93.5,12.89,Moderate,27.5,100.0,Low,3.0332936535613086,Low,21.742056418015515,74,70.84,Recommended
109,Tata,Harrier,2024,14.4,Petrol,Automatic,1997,15.3,4,2,Yes,Yes,Yes,Normal,Low,0.16,86.2,12.53,Good,32.5,89.6,Low,6.4157284097241565,Low,13.376868011600731,78,73.39500000000001,Recommended
110,Maruti Suzuki,Brezza,2019,13.07,Petrol,Manual,1197,17.2,5,6,Yes,Yes,No,Aggressive,High,0.31,85.5,12.61,Good,32.8,96.9,Low,0.6101734470366392,Medium,47.87132588064398,83,64.93,Recommended
111,Skoda,Slavia,2021,8.82,Diesel,Automatic,998,23.8,4,2,Yes,Yes,Yes,Calm,High,0.39,92.2,12.65,Good,33.7,66.8,Low,10.112306776068085,Medium,32.02418590111199,71,71.52,Recommended
112,Renault,Triber,2021,8.96,Petrol,Automatic,1497,23.4,3,2,Yes,No,No,Normal,Low,0.03,85.9,11.95,Moderate,32.1,85.2,Low,27.718642258191263,Low,18.012027413706704,45,53.76,Consider
113,Hyundai,Verna,2022,6.99,Petrol,Automatic,998,12.9,4,6,Yes,Yes,Yes,Normal,Low,0.05,81.0,12.52,Good,27.4,75.3,Low,8.715360414367524,Low,10.139403336915484,87,77.08500000000001,Highly Recommended
114,Tata,Punch,2019,10.26,Diesel,Automatic,1290,24.2,4,6,Yes,Yes,Yes,Normal,Medium,0.3,97.0,13.3,Good,32.0,78.2,Low,10.639632157337461,Low,22.402948321559457,83,76.98,Highly Recommended
115,Volkswagen,Virtus,2022,9.12,Diesel,Manual,1597,17.7,4,2,Yes,Yes,No,Normal,Low,0.03,79.0,13.21,Good,29.4,77.4,Low,7.459037933113056,Low,6.989973974226833,80,63.655,Recommended
116,Tata,Punch,2023,15.68,Electric,Automatic,0,377.1,3,2,Yes,No,Yes,Calm,Medium,0.14,87.4,12.8,Good,34.6,60.3,Low,15.554977467284672,Low,18.786732598442978,52,77.54125,Highly Recommended
117,Mahindra,XUV700,2023,14.5,Electric,Automatic,0,357.6,4,2,Yes,Yes,Yes,Aggressive,Low,0.08,90.9,12.01,Good,34.3,79.9,Low,12.16610066843802,Low,17.48764654915279,76,87.61,Highly Recommended
